no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;combined_notes;note_length;unique_words;cluster
191;AMOUAGE;Gold;1376;904.85;100;edp;Women;woody;ambergris civet musk cedar wood sandalwood;myrrh orris jasmine;4.04;Parvant Store;3.08;76;woody ambergris civet musk cedar wood sandalwood myrrh orris jasmine edp;72;11;1
192;Givenchy;Gentlemen Only;627;260.0;100;edt;Men;woody;skin accord tonka bean;cedar wood patchouli heart leather;4.0;Faces;3.09;61;woody skin accord tonka bean cedar wood patchouli heart leather edt;67;11;0
193;JAGUAR;Classic Amber;87;85.0;100;edt;Men;arabian;cedar wood patchouli vanilla leather vetiver labdanum musk;cinnamonblack pepperappleorange blossoms elemi resin;4.03;Abu Al Tayyeb Perfumes;3.09;33;arabian cedar wood patchouli vanilla leather vetiver labdanum musk cinnamonblack pepperappleorange blossoms elemi resin edt;123;15;2
194;AIGNER;Debut;220;143.75;100;edp;Women;citrus;patchouli cedar vanilla white musk oak moss;luminous orange blossom water lily jasmine sunflower seed;4.05;noon;4.02;98.1K;citrus patchouli cedar vanilla white musk oak moss luminous orange blossom water lily jasmine sunflower seed edp;112;17;1
195;J.CASANOVA;Pandora;142;88.95;100;edp;Women;floral;cedar moss musk amber sandalwood;lilyofthevalley rose jasmine narcissus orchid;5.0;noon;4.02;98.1K;floral cedar moss musk amber sandalwood lilyofthevalley rose jasmine narcissus orchid edp;89;12;1
196;Roberto Cavalli;Serpentine;286;162.85;100;edp;Women;arabian;tolu balsam sandalwood amber;violet leaf tiare flower pepper frangipani;4.04;noon;4.02;98.1K;arabian tolu balsam sandalwood amber violet leaf tiare flower pepper frangipani edp;83;12;1
197;BVLGARI;Man in Black;483;200.95;100;edp;Men;woody;benzoin guaiac wood tonka beans;iris leather tuberose;4.07;Star.perfume;3.09;537;woody benzoin guaiac wood tonka beans iris leather tuberose edp;63;10;0
198;MONTBLANC;Lady Emblem;08.05;8.05;2;edt;Men;floral;vanilla amber musk patchouli;jasmine geranium neroli ylangylang;5.0;Queen Beauty;3.08;467;floral vanilla amber musk patchouli jasmine geranium neroli ylangylang edt;74;10;1
199;Al Fakhr;Ameer Al Oud Khususi;28;12.0;100;edp;Unisex;woody sweet;sandalwood cedarwood;black pepper cardamom;4.01;kikup;3.06;425;woody sweet sandalwood cedarwood black pepper cardamom edp;58;8;0
200;LACOSTE;Touch Of Pink;249;90.0;90;edt;Women;floral;sandalwood musk vanilla;carrot seeds coriander jasmine violet leaf cardamom;5.0;Cute Shop;3.07;347;floral sandalwood musk vanilla carrot seeds coriander jasmine violet leaf cardamom edt;86;12;1
202;BURBERRY;My Burberry Bl;699;255.85;90;edt;Women;floral;amber patchouli;candied rose peach nectar;5.0;AMLAQ;3.09;135;floral amber patchouli candied rose peach nectar edt;52;8;0
204;TED LAPIDUS;Creation;101;50.0;100;edt;Women;floral;jasmine rose tuberose carnation;jasmine rose tuberose carnation;4.07;alkhalijiah  perfume;3.05;88;floral jasmine rose tuberose carnation jasmine rose tuberose carnation edt;74;6;1
206;Benetton;Hot;124;29.85;100;edt;Women;fruity;sandalwood amber musk vanilla oak moss cedar;apricot iris water jasmine lily of valley;5.0;Beauty Gallery;3.07;59;fruity sandalwood amber musk vanilla oak moss cedar apricot iris water jasmine lily of valley edt;97;16;1
208;LACOSTE;Lacoste;310;98.95;50;edp;Women;floral;himalayan cedar warm woman skin accord sandal incense;heliotrope jasmine in an alliance hibiscus blossom bulgarian rose;4.06;noon;4.02;98.1K;floral himalayan cedar warm woman skin accord sandal incense heliotrope jasmine in an alliance hibiscus blossom bulgarian rose edp;130;19;2
209;LACOSTE;Lacoste;368;115.0;100;edt;Men;citrus;cedar woody notes amber vanilla musk;black pepper ginger jasmine almond;4.06;noon;4.02;98.1K;citrus cedar woody notes amber vanilla musk black pepper ginger jasmine almond edt;82;13;1
210;Sedr Al-Khaleej Perfumes;Love Touch;111;49.85;100;edp;Women;fresh;woody leather musk;tiare flower rose;5.0;noon;4.02;98.1K;fresh woody leather musk tiare flower rose edp;46;8;0
213;LANVIN;Rumeur;154;71.0;100;edp;Women;floral;amber patchouli musk;orange blossom plum rose jasmine lily of valley;5.0;top langri;3.07;347;floral amber patchouli musk orange blossom plum rose jasmine lily of valley edp;79;13;1
214;GUCCI;Oud;690;380.0;75;edp;Women;spicy;natural oud oil patchouli;bulgarian rose orange flower;4.02;AMLAQ;3.09;135;spicy natural oud oil patchouli bulgarian rose orange flower edp;64;10;0
215;CHLOE;Love Story;383;237.0;50;edp;Men;floral;sandalwood amber musk vetiver brazilian rosewood;coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley geranium;4.0;hadayiq baris;3.08;122;floral sandalwood amber musk vetiver brazilian rosewood coriander lily orange blossom juniper berries basil jasmine sage lilyofthevalley geranium edp;149;19;2
216;TED LAPIDUS;Rumba;111;58.0;100;edt;Women;floral;ambergris vanilla leather tonka bean patchouli musk sandalwood cedar plum styrax oakmoss;honey jasmine tuberose carnation heliotrope magnolia gardenia lily of valley orchid marigold rose;3.03;hadayiq baris;3.08;122;floral ambergris vanilla leather tonka bean patchouli musk sandalwood cedar plum styrax oakmoss honey jasmine tuberose carnation heliotrope magnolia gardenia lily of valley orchid marigold rose edt;197;27;2
217;AMOUAGE;Honour;1607;710.95;100;edp;Women;spicy;patchouli cedar vetiver frankincense musk tonka bean;geranium elemi nutmeg;5.0;rich&light;3.08;66;spicy patchouli cedar vetiver frankincense musk tonka bean geranium elemi nutmeg edp;84;12;1
218;Jimmy Choo;jimmy;441;188.95;100;edp;Women;floral;coffee patchouli;orchid;5.0;Faces;3.09;61;floral coffee patchouli orchid edp;34;5;0
219;Rasasi;Blue;53;35.0;100;edt;Men;spicy;amber woody;coriander geranium jasmine rose pepper;4.03;hawas;4.02;9;spicy amber woody coriander geranium jasmine rose pepper edt;60;9;0
220;Dunhill;Desire Silver;192;118.95;100;edt;Men;floral;birch vetiver amber;water notes violet leaf cardamom;5.0;noon;4.02;98.1K;floral birch vetiver amber water notes violet leaf cardamom edt;63;10;0
221;Calvin Klein;Euphoria Amber Gold;327;166.0;100;edp;Unisex;arabian;lemon mint wood moss;sandalwood cedar;5.0;noon;4.02;98.1K;arabian lemon mint wood moss sandalwood cedar edp;49;8;0
222;Britney Spears;Fantasy;189;89.95;100;edp;Women;floral;creamy musk orris root sensual woods;cupcakes white chocolate orchid jasmine petals;5.0;noon;4.02;98.1K;floral creamy musk orris root sensual woods cupcakes white chocolate orchid jasmine petals edp;94;14;1
223;GUCCI;Guilty Absolute;515;299.85;90;edp;Men;woody;woody notes vetiver;patchouli cypress;4.03;noon;4.02;98.1K;woody woody notes vetiver patchouli cypress edp;47;6;0
224;joop;Homme;170;57.0;125;edt;Men;citrus;patchouli sandalwood tonka beans vanilla;cardamom cinnamon heliotrope jasmine lily of valley;4.02;Cute Shop;4.02;98;citrus patchouli sandalwood tonka beans vanilla cardamom cinnamon heliotrope jasmine lily of valley edt;103;14;1
225;Calvin Klein;Obsession;231;120.0;125;edt;Men;spicy;amber sandalwood patchouli vanilla musk;brazilian rosewood sage myrrh pine tree nutmeg;3.0;noon;4.02;98.1K;spicy amber sandalwood patchouli vanilla musk brazilian rosewood sage myrrh pine tree nutmeg edt;96;14;1
228;Lancome;Idol;739;299.0;50;edp;Women;floral;white musk vanilla;turkish rose rose de mai indian jasmine;5.0;hadayiq baris;3.08;122;floral white musk vanilla turkish rose rose de mai indian jasmine edp;69;11;0
230;CARTIER;Declaration;390;240.0;100;edp;Men;fruity;cedar leather amberwood benzointolu balsam vetiver;cardamom spices cumin;5.0;PARFUM.1990;3.06;111;fruity cedar leather amberwood benzointolu balsam vetiver cardamom spices cumin edp;83;11;1
231;Marbert;Man;51.95;51.95;125;edt;Men;woody;musk sandalwood patchouli oak moss virginia cedar amber leather;geraniumjasminelily of valleymajorjamcoriandernutmeg;5.0;neo lek;3.05;88;woody musk sandalwood patchouli oak moss virginia cedar amber leather geraniumjasminelily of valleymajorjamcoriandernutmeg edt;126;14;2
232;Calvin Klein;One Shock;176;106.0;200;edt;Men;spicy;musk patchouli amber tobacco;black pepper lively black basil resinous cardamom;5.0;Dior Fragrances;3.09;69;spicy musk patchouli amber tobacco black pepper lively black basil resinous cardamom edt;88;12;1
233;BURBERRY;Brit Rhythm Intense;370;136.65;90;edt;Men;spicy;cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla;amberbasillavendermintpatchouli;4.06;noon;4.02;98.1K;spicy cashmere woodcoumaringuaiac woodleathersandalwoodtonka beansvanilla amberbasillavendermintpatchouli edt;109;7;1
235;Lancome;Miracle;514;242.0;100;edp;Women;arabian;amber musk jasmine;magnolia ginger mandarin orange pepper jasmine;5.0;Parfume-Stor;4.02;98;arabian amber musk jasmine magnolia ginger mandarin orange pepper jasmine edp;77;10;1
236;CHOPARD;Rose Malaki;520;189.95;80;edp;Women;spicy;cedarwood patchouli vanilla;rose absolu rose petal accord smoky leather;4.03;noon;4.02;98.1K;spicy cedarwood patchouli vanilla rose absolu rose petal accord smoky leather edp;81;11;1
237;LACOSTE;Blanc Pour Homme;356;95.0;100;edt;Men;woody;leather suede cedar;mexican tuberose ylangylang;5.0;Cute Shop;3.09;537;woody leather suede cedar mexican tuberose ylangylang edt;57;8;0
238;JAGUAR;Classic Red;64.95;64.95;100;edt;Men;fruity;patchouli cedar amber tonka vanilla;jasmine pepper ozonic notes;4.04;Star.perfume;3.09;537;fruity patchouli cedar amber tonka vanilla jasmine pepper ozonic notes edt;74;11;1
239;Lancome;La Vie Est Belle;465;233.95;50;edp;Women;floral;patchouli tonka bean vanilla praline;iris jasmine orange blossom;5.0;Grass gulf;3.09;537;floral patchouli tonka bean vanilla praline iris jasmine orange blossom edp;75;11;1
240;Givenchy;Dahlia Divin Nude;549;300.0;75;edp;Women;fresh;rose vanilla ginger;pine cardamom lavender rosemary;4.05;Beautify;3.06;531;fresh rose vanilla ginger pine cardamom lavender rosemary edp;61;9;0
241;Dolce & Gabbana;The One;299;190.0;100;edt;Men;spicy;ambery cedar wood;cardamom ginger;4.07;hadayiq baris;3.08;122;spicy ambery cedar wood cardamom ginger edt;43;7;0
243;UNITED COLORS OF BENETTON;United Colors Of Benetton Hot;111;28.0;100;edt;Men;woody;sandalwood amber musk vanilla oakmoss cedar;apricot iris water jasmine lilyofthevalley;4.0;Dior Fragrances;3.07;59;woody sandalwood amber musk vanilla oakmoss cedar apricot iris water jasmine lilyofthevalley edt;96;13;1
245;CAROLINA HERRERA;Ch Men Sports;285;115.0;50;edt;Men;woody;sandalwood oak moss vetiver;sea notes mixed spices aromatic accords sichuan pepper juniper berries;4.03;Pink Box;4.02;7;woody sandalwood oak moss vetiver sea notes mixed spices aromatic accords sichuan pepper juniper berries edt;108;16;1
248;Mancera;Cedrat Boise;413;253.0;120;edp;Unisex;aromaticcitrus;leatheroakmossvanillawoody notes;patchouli leaves;5.0;Star.perfume;3.07;537;aromaticcitrus leatheroakmossvanillawoody notes patchouli leaves edp;68;6;0
251;Givenchy;Blue Label;380;143.85;100;edt;Men;spicy;cedar olibanum vetiver;cardamom lavender pepper;4.08;hadayiq baris;3.08;122;spicy cedar olibanum vetiver cardamom lavender pepper edt;57;8;0
252;Dior;Joy;500;360.0;90;edp;Women;woody;sandalwood cedar wood vanilla caramel musk woody accords;jasmine rose muget freesia cinnamon;4.0;Golden Perfumesعطر أصلي 100  %;3.06;113;woody sandalwood cedar wood vanilla caramel musk woody accords jasmine rose muget freesia cinnamon edp;102;14;1
253;LALIQUE;Encre Noire;140;136.0;100;edt;Men;woody;musk cashmere wood;haitian bourbon vetiver;4.05;Abu Al Tayyeb Perfumes;3.06;76;woody musk cashmere wood haitian bourbon vetiver edt;52;8;0
254;Calvin Klein;CK One;220;98.0;100;edt;Unisex;citrus;sandalwood amber musk cedar oakmoss green tea green accord;nutmeg violet orris root lilyofthevalley rose freesia jasmine;4.05;Spicebomb;3.08;66;citrus sandalwood amber musk cedar oakmoss green tea green accord nutmeg violet orris root lilyofthevalley rose freesia jasmine edt;131;18;2
255;PACO RABANNE;Black XS;429;310.0;100;edt;Men;woody;black amber patchouli;praline cinnamon;4.03;Parfume-Stor;3.09;61;woody black amber patchouli praline cinnamon edt;48;7;0
256;AZZARO;Pour Homme;225;133.0;100;edt;Men;woody;leather tonka bean amber musk oakmoss;sandalwood juniper berries patchouli vetiver cedar cardamom;5.0;Instant;3.07;44;woody leather tonka bean amber musk oakmoss sandalwood juniper berries patchouli vetiver cedar cardamom edt;107;15;1
257;CERRUTI 1881;Cerruti;117;117.0;100;edt;Men;floral;musk sandalwood patchouli oakmoss cedar pepper pine tree;vetiver ylangylang rose lilyofthevalley cassia;1.0;London store;3.07;23;floral musk sandalwood patchouli oakmoss cedar pepper pine tree vetiver ylangylang rose lilyofthevalley cassia edt;114;15;1
258;Rasasi;Relation;126;55.0;50;edp;Women;fresh;musk vanilla;bulgarian rose lilac jasmine;5.0;Willow flower;4.03;5;fresh musk vanilla bulgarian rose lilac jasmine edp;51;8;0
259;ESCADA;Magnetism;395;138.95;75;edp;Women;arabian;sandalwood amber patchouli musk benzoin caramel vetiver vanilla;magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose almond blossom;5.0;noon;4.02;98.1K;arabian sandalwood amber patchouli musk benzoin caramel vetiver vanilla magnolia iris green leaves freesia basil jasmine caraway heliotrope lilyofthevalley rose almond blossom edp;179;23;2
261;DORALL COLLECTION;Eventful;29;8.03;100;edt;Women;woody;musk;rose ylang ylang;4.05;B.A.G;3.07;14.1K;woody musk rose ylang ylang edt;31;5;0
263;VERSACE;L'Homme;185;145.0;100;edt;Men;citrus;amberlabdanumleathermusktonka beansvanilla;carnationcedarcinnamonjasminepatchoulirosesandalwood;4.02;AMLAQ;3.09;135;citrus amberlabdanumleathermusktonka beansvanilla carnationcedarcinnamonjasminepatchoulirosesandalwood edt;106;5;1
265;BURBERRY;My Burberry Bl;699;255.85;90;edt;Women;floral;amber patchouli;candied rose peach nectar;5.0;AMLAQ;3.09;135;floral amber patchouli candied rose peach nectar edt;52;8;0
266;DAVIDOFF;Cool Water;360;76.95;125;edt;Men;woody;amber cedar musk oakmoss tobacco;geranium jasmine neroli sandalwood;4.05;hadayiq baris;3.08;122;woody amber cedar musk oakmoss tobacco geranium jasmine neroli sandalwood edt;77;11;1
267;joop;Go;175;103.95;100;edt;Men;fresh;musk balsam fir;cypress violet bourbon geranium;4.04;Abu Al Tayyeb Perfumes;3.06;111;fresh musk balsam fir cypress violet bourbon geranium edt;57;9;0
268;Jacques Bogart;Silver Scent;140;55.0;100;edt;Men;arabian;vetiver litchi tonka bean teak wood;cardamom rosemary nutmeg lavender coriander geranium;4.05;Lady Style;4.03;88;arabian vetiver litchi tonka bean teak wood cardamom rosemary nutmeg lavender coriander geranium edt;100;14;1
269;Paris Hilton;Fairy Dust;94;94.0;100;edp;Women;floral;vanilla musk pacsuli;peachgardenialotus;3.07;fajr-perfume;3.08;23;floral vanilla musk pacsuli peachgardenialotus edp;50;6;0
270;PRIVE;Windsor;39;29.95;100;edp;Women;fruity;vanilla blackberry amber;jasmine magnalio orange bloosm;3.0;VIP.PARFUME;4.01;5;fruity vanilla blackberry amber jasmine magnalio orange bloosm edp;66;9;0
271;NARCISO RODRIGUEZ;Narciso;591;284.95;90;edp;Women;floral;vetiver white cedar extract cedar;musk gardenia white rose;5.0;noon;4.02;98.1K;floral vetiver white cedar extract cedar musk gardenia white rose edp;69;9;0
273;Jimmy Choo;jimmy;329;185.0;100;edt;Men;fruity;amber patchouli suede;geranium pineapple leaf pink pepper;4.04;Star.perfume;3.09;537;fruity amber patchouli suede geranium pineapple leaf pink pepper edt;68;10;0
274;MONTBLANC;Explorer;12;9.05;2;edp;Men;woody;vetiver leather cedarwood;patchouli mahonial ambrofix;4.08;Princess of beauty;3.08;467;woody vetiver leather cedarwood patchouli mahonial ambrofix edp;63;8;0
278;Ferrari;Scuderia Red;218;96.65;125;edt;Men;fruity;cedar sandalwood moss vanilla;jasmine geranium orris nutmeg;5.0;AMLAQ;3.09;135;fruity cedar sandalwood moss vanilla jasmine geranium orris nutmeg edt;70;10;1
279;Jacomo;Silences;158;143.95;100;edp;Women;floral;woodymusky;danmask roseirisnarcissus;5.0;AMLAQ;3.09;135;floral woodymusky danmask roseirisnarcissus edp;47;5;0
280;jil sander;Jil Sander;310;175.0;125;edt;Men;spicy;oakmoss cedar nutmeg woody notes;carnation geranium cinnamon patchouli;5.0;hadayiq baris;3.08;122;spicy oakmoss cedar nutmeg woody notes carnation geranium cinnamon patchouli edt;80;11;1
282;GUESS;Marciano;108.95;108.95;100;edp;Women;floral;powdery vanilla musk woody accord;floral rhythm of peony pink honeysuckle intensively clean sweet jasmine;5.0;Luxury;412.0;7;floral powdery vanilla musk woody accord floral rhythm of peony pink honeysuckle intensively clean sweet jasmine edp;116;16;1
283;joop;Homme;170;57.0;125;edt;Men;citrus;patchouli sandalwood tonka beans vanilla;cardamom cinnamon heliotrope jasmine lily of valley;4.02;Cute Shop;3.07;98;citrus patchouli sandalwood tonka beans vanilla cardamom cinnamon heliotrope jasmine lily of valley edt;103;14;1
285;HUGO BOSS;Hugo Boss;214;95.0;125;edt;Men;fresh;patchouli fir cedar;carnation sage geranium jasmine;4.05;Cute Shop;4.02;425;fresh patchouli fir cedar carnation sage geranium jasmine edt;61;9;0
286;MINI COLLECTION;Mini Collection No.1075;10;10.0;25;edp;Unisex;musk;wood;vanilla;5.0;Nuna;3.09;266;musk wood vanilla edp;21;4;0
288;HUGO BOSS;Hugo;395;115.0;125;edt;Men;aromatic;cedar wood fir patchouli;carnation geranium jasmine sage;4.02;Grass gulf;3.05;135;aromatic cedar wood fir patchouli carnation geranium jasmine sage edt;69;10;0
289;Calvin Klein;One Shock;177;102.0;200;edt;Men;spicy;amber patchouli woodsy notes musk;cardamom pepper basil osmanthus;4.07;AMLAQ;3.09;135;spicy amber patchouli woodsy notes musk cardamom pepper basil osmanthus edt;75;11;1
291;GIORGIO ARMANI;Eau De Cedre;1204;470.0;100;edt;Men;woody;suede cedar essence black tea woody notes;violet leaf cardamom cumin;4.07;MOON LIGHT;3.08;76;woody suede cedar essence black tea woody notes violet leaf cardamom cumin edt;78;12;1
292;Mancera;Red Tobacco;590;340.0;120;edp;Men;woody;precious tobacco amber woody notes vetiver vanilla pods white musk;patchouli leaves jasmine;4.07;Faces;4.02;61;woody precious tobacco amber woody notes vetiver vanilla pods white musk patchouli leaves jasmine edp;101;14;1
293;Jean Paul GAULTIER;Scandal;622;350.0;80;edp;Women;floral;sandalwood caramel beeswax patchouli;honey peach orange blossom jasmine gardenia;5.0;Faces;3.09;61;floral sandalwood caramel beeswax patchouli honey peach orange blossom jasmine gardenia edp;91;12;1
296;Calvin Klein;Escape;184;94.95;100;edp;Women;oriental;vanilla musk cedar sandalwood oakmoss amber vetiver;carnation rose peach lily of valley jasmine cloves;5.0;noon;4.02;98.1K;oriental vanilla musk cedar sandalwood oakmoss amber vetiver carnation rose peach lily of valley jasmine cloves edp;115;17;1
297;DORALL COLLECTION;Dionysus;39;10.06;100;edt;Men;floral;aromatic cedarwood tonka amber vetiver;ozonic tones geranium violet cool eucalyptus crisp green apple;3.0;B.A.G;3.07;14.1K;floral aromatic cedarwood tonka amber vetiver ozonic tones geranium violet cool eucalyptus crisp green apple edt;112;16;1
298;Genie;1029 Collection;43;17.08;40;edp;Women;fruity;vegetal amber musk mahogany;magnolia lotus peony;4.08;Parisian Store;3.09;425;fruity vegetal amber musk mahogany magnolia lotus peony edp;59;9;0
299;Lancome;La Vie Est Belle;560;217.0;75;edp;Women;vanilla;patchouli praline tonka beans vanilla;iris jasmine orange tree blossom;4.04;Al-Najm;3.07;347;vanilla patchouli praline tonka beans vanilla iris jasmine orange tree blossom edp;82;11;1
301;VERSACE;Oud Noir;500;260.0;100;edp;Men;woody;agarwood patchouli leatherwood;cardamom saffron olibanum;4.05;Lady Style;4.02;124;woody agarwood patchouli leatherwood cardamom saffron olibanum edp;66;8;0
302;Roberto Cavalli;cavalli;110;110.0;75;edp;Women;arabian;benzoin tonka bean vanilla;african orange flower;5.0;hadayiq baris;3.08;122;arabian benzoin tonka bean vanilla african orange flower edp;60;9;0
304;CAROLINA HERRERA;Prive;425;140.0;100;edt;Men;aromatic;leather benzoin tonka;luxurious notes of whiskey;4.03;Perfume Ms;3.08;66;aromatic leather benzoin tonka luxurious notes of whiskey edt;61;9;0
308;Lattafa;Velvet Oud;85;56.75;100;edp;Unisex;floral;sandalwood tonka bean amber patchouli musk oakmoss cedar tobacco;pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood incense;4.0;noon;4.02;98.1K;floral sandalwood tonka bean amber patchouli musk oakmoss cedar tobacco pine tree honey orris root jasmine caraway petitgrain lilyofthevalley rose brazilian rosewood incense edp;177;24;2
311;ROCHAS;Secret De Rochas;145;67.0;100;edp;Women;fruity;oakmoss sandalwood civet cedarwood musk orris tonka bean;osmanthus jasmine;3.0;KOZMA;4.04;337;fruity oakmoss sandalwood civet cedarwood musk orris tonka bean osmanthus jasmine edp;85;12;1
312;jennifer lopez;Live Luxe;168;95.0;100;edp;Women;fresh;diamond musk soft musk;muguet petals exotic amethyst freesia;5.0;neo lek;3.05;88;fresh diamond musk soft musk muguet petals exotic amethyst freesia edp;70;10;1
313;Guerlain;Mon Florale;635;319.0;100;edp;Women;floral;vanilla iris sandalwood;floral notes peony jasmine sambac ylangylang neroli peach lilyofthevalley;4.08;Faces;3.09;61;floral vanilla iris sandalwood floral notes peony jasmine sambac ylangylang neroli peach lilyofthevalley edp;108;13;1
314;GUCCI;Guilty Intense;330;224.0;90;edt;Men;floral;patchouli virginia cedar amber;african orange flower neroli;4.04;flower;3.09;33;floral patchouli virginia cedar amber african orange flower neroli edt;70;10;1
315;PRADA;Milano Infusion D'iris;500;338.0;100;edp;Women;woody;incense benzoin;iris cedar vetiver;5.0;Shopping life;4.02;20;woody incense benzoin iris cedar vetiver edp;44;7;0
316;Michael Kors;kors;419;273.0;100;edp;Women;floral;musk cashmere wood vetiver;tuberose iris peony orris root arum lily;5.0;Beautiful Live;4.02;7;floral musk cashmere wood vetiver tuberose iris peony orris root arum lily edp;78;13;1
318;Ajmal;Teenz;134;74.85;50;edp;Women;floral;floral fruity musky;fruity musky;4.05;noon;4.02;98.1K;floral floral fruity musky fruity musky edp;43;4;0
319;TED LAPIDUS;Creation;162;162.0;100;edt;Women;fruity;amber musk sandalwood veti;gardenia jasmine tuberose daffodil rose ylangylang;4.03;KAYA;4.03;4K;fruity amber musk sandalwood veti gardenia jasmine tuberose daffodil rose ylangylang edt;88;12;1
320;BVLGARI;Goldea;615;200.0;90;edp;Women;arabian;muskamberpatchoulipapyrus;ylangylang jasmine musk;4.05;Beuatyone1;3.09;347;arabian muskamberpatchoulipapyrus ylangylang jasmine musk edp;61;6;0
321;Revlon;Charlie Blue;44;34.0;100;edt;Women;woody;a mix of sandalwood oakmoss;jasmine muguet rose ylangylang;4.02;Attractive perfume;3.05;244;woody a mix of sandalwood oakmoss jasmine muguet rose ylangylang edt;68;11;0
324;GUCCI;Premiere;570;292.95;75;edp;Women;floral;patchouli sandalwood;orange blossom musk;2.0;AMLAQ;3.09;135;floral patchouli sandalwood orange blossom musk edp;51;7;0
325;CHANEL;Allure Homme Sport EDT For;800;423.0;100;edp;Men;citrus;tonka bean atlas cedar vetiver white musk pepper;cedarnerolipepper;5.0;hadayiq baris;3.08;122;citrus tonka bean atlas cedar vetiver white musk pepper cedarnerolipepper edp;77;11;1
326;BVLGARI;Aqva Marine Pour Homme;331;163.95;100;edt;Men;citrus;virginia cedar amber;seaweed rosemary water notes;4.08;hadayiq baris;3.08;122;citrus virginia cedar amber seaweed rosemary water notes edt;60;9;0
327;VERSACE;Dylan Blue;77;38.0;5;edt;Men;arabian;musk tonka bean incense saffron;violet leaves papyrus wood patchouli black pepper ambergris;4.02;neo lek;3.05;88;arabian musk tonka bean incense saffron violet leaves papyrus wood patchouli black pepper ambergris edt;103;15;1
328;Jacques Bogart;Silver Scent;140;55.0;100;edt;Men;arabian;vetiver litchi tonka bean teak wood;cardamom rosemary nutmeg lavender coriander geranium;4.05;Lady Style;3.06;88;arabian vetiver litchi tonka bean teak wood cardamom rosemary nutmeg lavender coriander geranium edt;100;14;1
331;BVLGARI;Omnia Crystalline;504;279.0;65;edt;Women;woody;white sandalwood benzoin siam musks;lotus flower orris concrete heliotrope;5.0;KAYA;4.03;4K;woody white sandalwood benzoin siam musks lotus flower orris concrete heliotrope edt;84;12;1
333;Ard Al Zaafaran;Oud Sharqia;65;18.04;80;edp;Unisex;arabian;sweet wood;citric;4.04;King-Perfume;4.02;450;arabian sweet wood citric edp;29;5;0
336;Calvin Klein;Reveal;427;169.0;100;edp;Women;floral;vetiver sandalwood cashmere musk;powdery iris ambergris;4.04;Faces;3.06;61;floral vetiver sandalwood cashmere musk powdery iris ambergris edp;66;9;0
338;LANVIN;Lanvin;139;113.0;100;edt;Men;woody;sandalwood amber musk vanilla;pepper mint sage cardamom;5.0;Chansles;3.09;33;woody sandalwood amber musk vanilla pepper mint sage cardamom edt;65;10;0
340;Britney Spears;Fantasy;314;99.0;100;edp;Women;floral;creamy musk orris root sensual woods;cupcake jasmine white chocolate orchid;4.05;noon;4.02;98.1K;floral creamy musk orris root sensual woods cupcake jasmine white chocolate orchid edp;86;13;1
341;ELIE SAAB;Royal;711;239.75;90;edp;Women;floral;indonesian patchouli essence indian sandalwood amber vanilla;turkish rose absolute bulgarian rose absolute lebanese neroli;5.0;noon;4.02;98.1K;floral indonesian patchouli essence indian sandalwood amber vanilla turkish rose absolute bulgarian rose absolute lebanese neroli edp;133;15;2
345;HUGO BOSS;Hugo;395;115.0;125;edt;Men;aromatic;cedar wood fir patchouli;carnation geranium jasmine sage;4.02;Grass gulf;3.07;135;aromatic cedar wood fir patchouli carnation geranium jasmine sage edt;69;10;0
346;Calvin Klein;Euphoria Intense;99.95;99.95;100;edt;Men;spicy;amber patchouli agarwood myrrh labdanun;black basil sage cedar vetiver;5.0;hadayiq baris;3.08;122;spicy amber patchouli agarwood myrrh labdanun black basil sage cedar vetiver edt;80;12;1
347;MONTBLANC;Legend Spirit;342;140.0;100;edt;Men;citrus;white musk white woods cashmere wood oakmoss;water notes lavender cardamom;4.07;hadayiq baris;3.08;122;citrus white musk white woods cashmere wood oakmoss water notes lavender cardamom edt;85;12;1
348;Parfums De Marly;Pegasus;914;245.0;125;edt;Men;citrus;ambergris musk;iris orange blossom;4.05;hadayiq baris;3.08;122;citrus ambergris musk iris orange blossom edt;45;7;0
350;TRUSSARDI;Uomo;260;143.75;100;edt;Men;floral;patchoulioak mossleather;geraniumvioletclary sage;4.01;Parvant Store;3.08;76;floral patchoulioak mossleather geraniumvioletclary sage edt;60;6;0
351;LOEWE;Esencia Pour Homme;514;177.0;150;edt;Men;woody;tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar styrax;clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium black currant;5.0;Pinch Of Perfum;4.02;32;woody tonka bean leather sandalwood fir amber patchouli musk oakmoss vetiver cedar styrax clary sage nutmeg basil jasmine neroli lilyofthevalley rose pine tree needles geranium black currant edt;194;28;2
352;Calvin Klein;Escape;184;94.95;100;edp;Women;oriental;vanilla musk cedar sandalwood oakmoss amber vetiver;carnation rose peach lily of valley jasmine cloves;5.0;noon;4.02;98.1K;oriental vanilla musk cedar sandalwood oakmoss amber vetiver carnation rose peach lily of valley jasmine cloves edp;115;17;1
